Query,Responses,Passages,Meta Data,Positive Query,Tool Name,Agent Id,endpoints
How can I optimize images for my e-commerce store?,store_id,The Image Optimiser tool uses AI-driven compression techniques and requires the store ID to function effectively.,"Tool: Image Optimiser, Feature: AI Image compression, Input: store_id",TRUE,Image Optimiser,1,/imageoptimiser
I wanna optimize images in my store.,store_id,The tool uses AI-driven compression techniques to reduce loading times and bandwidth usage.,"Tool: Image Optimiser, Feature: Website Performance optimization ",TRUE,Image Optimiser,1,/imageoptimiser
How do I reduce image sizes for my e-commerce store?,store_id,Optimizes product images for web performance with reduced loading times and bandwidth usage. Requires a store ID for operation,"Tool: Image Optimiser, Feature:Reducing image size improves performance, Input: store_id",TRUE,Image Optimiser,1,/imageoptimiser
How do I optimize videos in my website,none,The Image Optimiser supports multiple image formats but does not process videos.,Tool: none Feature: none Input: none,FALSE,none,0,none
How can I enhance images for my e-commerce website?,store_id,Usig Image Optimiser tool might give you increased perfromance of your store,"Tool: Image Optimiser, Feature: Enhanes and improves images from a website Input: store_id",TRUE,Image Optimiser,1,/imageoptimiser
How do I enhance videos in my website,none,"The closes available tool is image optimiser and that supports image optimisation, which optimises the image sizes in yout store, not videos",Tool: none Feature: none Input: none,FALSE,none,0,none
How can I optimize my category pages for better SEO?,store_id-category_ids-fields-user_instructions-llm,"The Category Data Optimiser enhances category pages by optimizing titles, descriptions, and keywords to improve SEO performance. Requires store ID, category IDs, and specific fields to update.","Tool: Category Data Optimiser, Feature: SEO optimization specialized for Category data, Input: store_id, category_ids, fields, user_instructions, llm",TRUE,Category Data Optimiser,15,/categorydataoptimiser
What do I need to enhance meta descriptions for categories?,store_id-category_ids-fields-user_instructions-llm,Meta descriptions for category pages are optimized by analyzing high-performing keywords and maintaining ideal character lengths. Input requirements include store ID and category IDs.,"Tool: Category Data Optimiser, Feature: Optimising not only meta description of the category data of store, also optimise name , description,page title,meta_keywords, Input: store_id, category_ids, fields, user_instructions, llm",TRUE,Category Data Optimiser,15,/categorydataoptimiser
Can you help me improve search visibility for my categories?,store_id-category_ids-fields-user_instructions-llm,Category data optimiser uses strategic keyword optimization and content analysis to improve search visibility for e-commerce categories.,"Tool: Category Data Optimiser, Feature: Search visibility improvement specific for categpry data of a store, Input: store_id,category_ids,fields-user_instructions,llm",TRUE,Category Data Optimiser,15,/categorydataoptimiser
How do I improve the taxonomy structure of my categories?,none,"Category data optimiser tool focuses on optimises only name, description, page_title, meta_keywords but does not support taxonomy restructuring or anyting  else",Tool: none Feature: none Input: none,FALSE,none,0,none
How can I improve rankings for my e-commerce categories?,store_id-category_ids-fields-user_instructions-llm,"Rankings of categories in your store are improved by optimizing search terms, meta descriptions, and titles using high-performing keywords.","Tool: Category Data Optimiser, Feature: Search rankings improvement specific for categpry data Input: store_id,category_ids,fields-user_instructions,llm",TRUE,Category Data Optimiser,15,/categorydataoptimiser
I wanna optimize name and description of a category in my store.,store_id-category_ids-fields-user_instructions-llm,"The Category Data Optimiser enhances category pages by optimizing titles, descriptions, and keywords to improve SEO performance. Requires store ID, category IDs, and specific fields to update.","Tool: Category Data Optimiser, Feature: SEO optimization specialized for Category data, Input: store_id, category_ids, fields, user_instructions, llm",TRUE,Category Data Optimiser,15,/categorydataoptimiser
